profile,conjunto,n_puntos,n_snap_desconocido,snap_medio_m,snap_mediana_m,snap_p95_m,snap_max_m,n_sobre_limite,n_sin_acceso_vial
foot,demanda,1200,0,2441.9698679510234,19.55942915,9133.390524599998,261368.6051,94,36
foot,establecimientos,623,0,549.4848986161196,9.751868301,115.07717585999994,124209.9079,10,3
