natural_region,poblacion,n_puntos,poblacion_sin_ruta,t_medio_min,t_mediano_min,t_p90_min,km_medio_red,gini_tiempo,pob_hasta_30min,share_hasta_30min,share_banda_0_30min,pob_hasta_60min,share_hasta_60min,share_banda_30_60min,pob_hasta_120min,share_hasta_120min,share_banda_60_120min,share_mas_120min,pob_mas_120min
costa,14417505.694444444,837,4231.777777777777,7.58885783181193,2.864843196961143,17.451001556833848,6.401237262223965,0.685776103382754,13625834.857142856,0.9450896116096805,0.9450896116096805,14139638.464285715,0.980727094127953,0.03563748251827248,14343772.416666666,0.9948858506221232,0.0141587564941702,0.005114149377876798,73733.27777777825
selva,1917992.0,384,361749.0,103.22861017730057,4.038907057707212,102.34529456232158,26.455583404390282,0.9041415352781322,1135565.6666666667,0.592059647103151,0.592059647103151,1267741.8333333333,0.6609734729515729,0.06891382584842198,1402702.1666666667,0.7313389037423862,0.07036543079081325,0.2686610962576138,515289.8333333332
sierra,11441320.305555556,3779,3918.5,43.34259536234166,24.789468415845928,119.67817263848441,36.86113095393374,0.5938942463993067,6161955.443650794,0.5385703117374256,0.5385703117374256,8167454.6865079375,0.7138559596607107,0.17528564792328505,10306277.188888889,0.9007943937977574,0.1869384341370467,0.09920560620224261,1135043.1166666667
