ubigeo,population,rural_pop,capital_pop,ccpp_count,primary_care_n,area_sqkm,department,province,district,rural_share,settlement_dispersion,population_density,primary_care_per_10k,altitude_m
010302,346.0,206.0,140.0,14.0,1.0,161.77204342,AMAZONAS,BONGARA,CHISQUILLA,0.5953757225433526,0.5953757225433526,2.1388120758399456,28.90173410404624,2368.0
010303,272.0,24.0,248.0,6.0,1.0,31.80367198,AMAZONAS,BONGARA,CHURUJA,0.08823529411764706,0.08823529411764708,8.552471556462079,36.76470588235294,1689.5
010304,721.0,621.0,100.0,21.0,1.0,64.16903654,AMAZONAS,BONGARA,COROSHA,0.8613037447988904,0.8613037447988905,11.2359486580504,13.869625520110958,2114.5
010305,782.0,418.0,364.0,16.0,2.0,96.42758765,AMAZONAS,BONGARA,CUISPES,0.5345268542199488,0.5345268542199488,8.109712366116627,25.575447570332482,1987.5
010306,6293.0,2723.0,3570.0,40.0,5.0,221.99171741,AMAZONAS,BONGARA,FLORIDA,0.43270300333704115,0.43270300333704115,28.347904477793463,7.945336087716511,2325.5
010307,8659.0,1829.0,5602.0,42.0,11.0,75.73622018,AMAZONAS,BONGARA,JAZAN,0.2112253147014667,0.35304307656773304,114.3310291881535,12.703545444046657,1518.0
010308,245.0,165.0,80.0,9.0,1.0,28.04285401,AMAZONAS,BONGARA,RECTA,0.673469387755102,0.6734693877551021,8.736628586827637,40.81632653061225,2341.0
010309,367.0,72.0,295.0,12.0,1.0,112.41452572,AMAZONAS,BONGARA,SAN CARLOS,0.19618528610354224,0.19618528610354224,3.2647026498525356,27.247956403269754,1841.5
010310,1350.0,562.0,788.0,11.0,4.0,125.32798005,AMAZONAS,BONGARA,SHIPASBAMBA,0.4162962962962963,0.4162962962962963,10.771736682115305,29.62962962962963,1648.5
010311,1262.0,836.0,426.0,17.0,4.0,78.00298287,AMAZONAS,BONGARA,VALERA,0.6624405705229794,0.6624405705229794,16.17886846844374,31.695721077654518,1873.0
010312,6083.0,3849.0,661.0,50.0,9.0,1679.39568674,AMAZONAS,BONGARA,YAMBRASBAMBA,0.6327469998356074,0.8913365115896762,3.62213625295666,14.795331251027454,1875.0
010401,22115.0,18842.0,2059.0,129.0,34.0,4182.35397863,AMAZONAS,CONDORCANQUI,NIEVA,0.8520009043635541,0.9068957721003843,5.287692077953703,15.374180420529052,198.0
010402,8723.0,7635.0,1088.0,65.0,21.0,5608.92522262,AMAZONAS,CONDORCANQUI,EL CENEPA,0.8752722687148916,0.8752722687148917,1.5551999097476605,24.074286369368338,306.0
010403,12696.0,10599.0,699.0,67.0,27.0,8074.56234522,AMAZONAS,CONDORCANQUI,RIO SANTIAGO,0.8348298676748582,0.9449432892249527,1.5723452810437226,21.266540642722116,191.0
010501,2319.0,309.0,2010.0,15.0,4.0,73.08945851,AMAZONAS,LUYA,LAMUD,0.1332470892626132,0.1332470892626132,31.728241627111213,17.248814144027598,2630.0
010502,6076.0,2233.0,1360.0,31.0,5.0,218.68852513,AMAZONAS,LUYA,CAMPORREDONDO,0.3675115207373272,0.7761685319289006,27.783808027367257,8.229098090849243,1809.0
010503,2242.0,1919.0,323.0,67.0,7.0,342.38417277,AMAZONAS,LUYA,COCABAMBA,0.8559322033898306,0.8559322033898304,6.548199882785136,31.222123104371097,1712.5
010504,2853.0,1459.0,1394.0,20.0,4.0,107.60089616,AMAZONAS,LUYA,COLCAMAR,0.5113915177006659,0.511391517700666,26.514649057919147,14.020329477742727,2430.5
010505,2033.0,840.0,1193.0,18.0,3.0,248.56301126,AMAZONAS,LUYA,CONILA,0.4131824889326119,0.4131824889326119,8.179012596019192,14.756517461878996,2877.5
010506,694.0,284.0,410.0,20.0,1.0,118.46436547,AMAZONAS,LUYA,INGUILPATA,0.4092219020172911,0.40922190201729103,5.858301753836254,14.40922190201729,2398.5
010507,946.0,748.0,198.0,17.0,2.0,58.6495319,AMAZONAS,LUYA,LONGUITA,0.7906976744186046,0.7906976744186046,16.129711002859683,21.141649048625794,2706.5
010508,1054.0,709.0,345.0,11.0,3.0,69.46579676,AMAZONAS,LUYA,LONYA CHICO,0.6726755218216319,0.6726755218216318,15.172934727021188,28.46299810246679,2614.0
010509,4153.0,1975.0,2178.0,15.0,5.0,96.05728413,AMAZONAS,LUYA,LUYA,0.47555983626294246,0.4755598362629424,43.23461815118049,12.039489525644113,2421.5
010510,482.0,69.0,413.0,5.0,1.0,55.70868044,AMAZONAS,LUYA,LUYA VIEJO,0.14315352697095435,0.1431535269709544,8.652152522606045,20.74688796680498,2909.5
010511,857.0,399.0,458.0,18.0,1.0,87.68005954,AMAZONAS,LUYA,MARIA,0.46557759626604434,0.46557759626604434,9.774172194865278,11.668611435239205,2825.0
010512,3622.0,2245.0,1377.0,20.0,5.0,171.87624271,AMAZONAS,LUYA,OCALLI,0.6198233020430701,0.6198233020430701,21.073302178889595,13.804527885146328,1687.5
010513,3781.0,3153.0,628.0,31.0,5.0,363.76513771,AMAZONAS,LUYA,OCUMAL,0.8339063739751389,0.8339063739751389,10.394069161774047,13.224014810896588,1812.0
010514,5432.0,5187.0,245.0,76.0,10.0,290.55964447,AMAZONAS,LUYA,PISUQUIA,0.9548969072164949,0.9548969072164949,18.694956795904424,18.40942562592047,2109.0
010515,1448.0,1183.0,265.0,17.0,3.0,116.39597898,AMAZONAS,LUYA,PROVIDENCIA,0.8169889502762431,0.8169889502762431,12.440292290928761,20.718232044198896,2146.0
010516,707.0,209.0,498.0,3.0,1.0,35.50551684,AMAZONAS,LUYA,SAN CRISTOBAL,0.2956152758132956,0.2956152758132956,19.91239849249298,14.144271570014144,2616.0
010517,793.0,422.0,371.0,19.0,1.0,181.73852297,AMAZONAS,LUYA,SAN FRANCISCO DEL YESO,0.532156368221942,0.532156368221942,4.363411713932012,12.610340479192939,2521.0
010518,971.0,606.0,365.0,23.0,2.0,207.8518955,AMAZONAS,LUYA,SAN JERONIMO,0.6240988671472708,0.6240988671472709,4.671595597741373,20.597322348094746,2416.0
010519,553.0,471.0,82.0,16.0,2.0,86.29309614,AMAZONAS,LUYA,SAN JUAN DE LOPECANCHA,0.8517179023508138,0.8517179023508137,6.408392151126726,36.16636528028933,2837.5
010520,1705.0,1282.0,423.0,12.0,4.0,164.64989207,AMAZONAS,LUYA,SANTA CATALINA,0.7519061583577713,0.7519061583577713,10.355305907368155,23.46041055718475,2044.0
010521,3725.0,2619.0,1106.0,66.0,7.0,89.93432757,AMAZONAS,LUYA,SANTO TOMAS,0.7030872483221476,0.7030872483221476,41.41911215270568,18.79194630872483,2760.0
010522,1260.0,630.0,162.0,22.0,2.0,108.97603261,AMAZONAS,LUYA,TINGO,0.5,0.8714285714285714,11.562175368498213,15.873015873015873,1968.0
010523,1299.0,528.0,771.0,6.0,2.0,12.92642675,AMAZONAS,LUYA,TRITA,0.4064665127020785,0.40646651270207856,100.49180838006916,15.39645881447267,2785.5
010601,4914.0,1558.0,3356.0,34.0,11.0,102.14454572,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,0.3170533170533171,0.3170533170533171,48.10829560562463,22.385022385022385,1571.5
010602,1842.0,1737.0,105.0,33.0,6.0,153.74297553,AMAZONAS,RODRIGUEZ DE MENDOZA,CHIRIMOTO,0.9429967426710097,0.9429967426710097,11.981035189738272,32.57328990228013,2034.0
010603,545.0,112.0,104.0,8.0,1.0,180.70535225,AMAZONAS,RODRIGUEZ DE MENDOZA,COCHAMAL,0.20550458715596331,0.8091743119266055,3.015959368187447,18.34862385321101,1585.0
010604,3291.0,2611.0,680.0,37.0,3.0,77.61371708,AMAZONAS,RODRIGUEZ DE MENDOZA,HUAMBO,0.7933758735946521,0.7933758735946521,42.40229850875221,9.115770282588878,1631.0
010605,2629.0,2061.0,568.0,47.0,3.0,614.49648163,AMAZONAS,RODRIGUEZ DE MENDOZA,LIMABAMBA,0.7839482693039178,0.7839482693039178,4.2782995160954735,11.411182959300113,1710.0
010606,1767.0,810.0,957.0,13.0,2.0,82.20377814,AMAZONAS,RODRIGUEZ DE MENDOZA,LONGAR,0.45840407470288624,0.45840407470288624,21.495362378486416,11.318619128466327,1741.5
010607,1713.0,785.0,928.0,13.0,2.0,202.47230582,AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES,0.45826036193812025,0.45826036193812025,8.460416317493193,11.675423234092236,1958.5
010608,1032.0,646.0,386.0,14.0,2.0,42.94159963,AMAZONAS,RODRIGUEZ DE MENDOZA,MILPUC,0.625968992248062,0.625968992248062,24.032639885148125,19.37984496124031,1665.0
010609,7261.0,6657.0,604.0,60.0,13.0,225.08372559,AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA,0.916815865583253,0.916815865583253,32.25910705435112,17.903869990359453,1822.0
010610,540.0,388.0,152.0,11.0,1.0,20.21932553,AMAZONAS,RODRIGUEZ DE MENDOZA,SANTA ROSA,0.7185185185185186,0.7185185185185186,26.70712231220504,18.51851851851852,1791.0
010611,490.0,357.0,133.0,6.0,1.0,19.4458295,AMAZONAS,RODRIGUEZ DE MENDOZA,TOTORA,0.7285714285714285,0.7285714285714286,25.198205095853588,20.408163265306126,1694.5
010612,1371.0,1080.0,291.0,16.0,4.0,861.2653477,AMAZONAS,RODRIGUEZ DE MENDOZA,VISTA ALEGRE,0.787746170678337,0.787746170678337,1.5918439115903606,29.175784099197667,1397.0
010701,47295.0,17788.0,25930.0,102.0,53.0,727.45055979,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,0.3761074109313881,0.45173908446981714,65.01472761757594,11.206258589702928,1158.0
010702,26388.0,18210.0,1516.0,124.0,33.0,1798.93155254,AMAZONAS,UTCUBAMBA,CAJARURO,0.6900864029104138,0.9425496437774746,14.668707079344673,12.50568440200091,2294.0
010703,9012.0,6258.0,1373.0,56.0,12.0,301.36506019,AMAZONAS,UTCUBAMBA,CUMBA,0.6944074567243675,0.847647581003107,29.90393111370725,13.315579227696405,481.0
010704,5651.0,4096.0,1555.0,17.0,8.0,307.48367824,AMAZONAS,UTCUBAMBA,EL MILAGRO,0.7248274641656344,0.7248274641656345,18.378211267491178,14.156786409485047,398.0
010705,7554.0,6169.0,878.0,55.0,12.0,350.36617724,AMAZONAS,UTCUBAMBA,JAMALCA,0.8166534286470744,0.8837701879798782,21.560300310681896,15.885623510722795,1178.0
