share_poblacion,share_tiempo_acumulado
0.0,0.0
0.01,5.7810194465931995e-05
0.02,0.00017174385341776096
0.03,0.00028839447923614407
0.04,0.00044207424096542555
0.05,0.0006347514218487068
0.06,0.0008619829076992272
0.07,0.0010958428242292908
0.08,0.0013590402947435498
0.09,0.0016666099571092552
0.1,0.0019797783968737714
0.11,0.0023071369310592063
0.12,0.0026783171949065795
0.13,0.0031010342510694572
0.14,0.003567107263870634
0.15,0.004067376292581225
0.16,0.004590733491753446
0.17,0.005127786255888653
0.18,0.005680566386390902
0.19,0.006262928683686701
0.2,0.006862038893241401
0.21,0.007465111811051193
0.22,0.008075199430063094
0.23,0.008693026108221454
0.24,0.009313611726199256
0.25,0.00995707144448757
0.26,0.010606556148440138
0.27,0.01129103324667626
0.28,0.012028384642258671
0.29,0.012803782854578994
0.3,0.013608030605730091
0.31,0.01445808294876199
0.32,0.015344061748208997
0.33,0.01623584612257415
0.34,0.01714301416547625
0.35000000000000003,0.018079163684586216
0.36,0.01904793828742994
0.37,0.020036850672825547
0.38,0.021056451602011
0.39,0.022081258000499596
0.4,0.02310830044477882
0.41000000000000003,0.024151386419180684
0.42,0.02523351134041011
0.43,0.026348663965781286
0.44,0.02752259822117305
0.45,0.028731465109749995
0.46,0.029963857503479432
0.47000000000000003,0.031196249897208872
0.48,0.03244877899448875
0.49,0.0337532930099382
0.5,0.03510824156880963
0.51,0.03648673926514381
0.52,0.037880786198754755
0.53,0.039274833132365704
0.54,0.040669385221595016
0.55,0.04216456194419592
0.56,0.04374084338843948
0.5700000000000001,0.04538740820816667
0.58,0.04720866239924045
0.59,0.049288590938829244
0.6,0.05159552364951148
0.61,0.05398106525139036
0.62,0.05664740178519196
0.63,0.059773844023110076
0.64,0.06336773261584175
0.65,0.06730815214041432
0.66,0.07155198654142342
0.67,0.0763007472984039
0.68,0.08136867979077492
0.6900000000000001,0.0868807486362878
0.7000000000000001,0.09297415777332503
0.71,0.09961137672419354
0.72,0.10686448265243105
0.73,0.11473660183690693
0.74,0.12331589229117774
0.75,0.13268088710008366
0.76,0.14277591337115317
0.77,0.15366969819800283
0.78,0.16545425714646933
0.79,0.178096271427239
0.8,0.19186280161477415
0.81,0.20663953970953736
0.8200000000000001,0.2224443719604698
0.8300000000000001,0.23930303040875953
0.84,0.2573174258714791
0.85,0.2766073696417102
0.86,0.29735156523737133
0.87,0.31966525036317395
0.88,0.3434500513382063
0.89,0.3688698885041913
0.9,0.39589663409127096
0.91,0.4249080337513597
0.92,0.4557613977263683
0.93,0.48924860262380787
0.9400000000000001,0.5259469746333638
0.9500000000000001,0.5666635954442294
0.96,0.6113442669056888
0.97,0.6595628711837525
0.98,0.7132883589501824
0.99,0.7754430504084074
1.0,0.999999999999648
