anio,n_resolutivas,poblacion,t_medio_min,t_mediano_min,share_hasta_30min,share_hasta_60min,share_hasta_120min
2010,434,27776818.0,29.87762460069548,4.2625477688284485,0.7438401349929157,0.8361318564564757,0.9308775014794309
2015,513,27776818.0,29.187854634306223,3.880385979278366,0.7489516186048975,0.8429959286238973,0.9319325599338107
2020,579,27776818.0,28.3258242698694,3.8329546815362954,0.7518342622059992,0.8476290547076697,0.9365542196213963
2026,644,27776818.0,27.940235633512327,3.8150148074211163,0.7532668417044861,0.8487233845189533,0.9379314712081931
