presupuesto,n_ascendidos,poblacion_cubierta,share_cubierta,ganancia_vs_base,t_medio_min,cota_superior_optimo,garantia_voraz_pct_del_optimo,brecha_maxima_vs_cota
5,5,23903406.867460318,0.860552381034441,328571.88333333284,26.30002207012006,24021215.484126985,63.212055882855765,117808.61666666716
10,10,24134726.567460317,0.8688801779764809,559891.5833333321,25.754599190305527,24351534.617460318,63.212055882855765,216808.05000000075
20,20,24460093.686507937,0.8805937989912285,885258.7023809515,24.909594914635317,24867982.100793652,63.212055882855765,407888.41428571567
50,50,25091689.253174603,0.9033320250424149,1516854.269047618,22.995967747221393,26266214.876984127,63.212055882855765,1174525.6238095239
