profile,conjunto,n_puntos,n_snap_desconocido,snap_medio_m,snap_mediana_m,snap_p95_m,snap_max_m,n_sobre_limite,n_sin_acceso_vial
car,demanda,5000,0,2700.6657988919796,34.929986775,3836.5665282000205,391396.983,357,125
car,establecimientos,644,0,484.9344986690899,10.253762675,74.37956459000007,133186.8501,7,3
