2026-09-06 22:09:45,736 | INFO    | hw02.routing           | perfil bike: 198 orígenes × 3 destinos (unión de los 15 más cercanos en auto)
2026-09-06 22:09:45,738 | INFO    | hw02.routing           | vías de Overpass desde caché: roads_overpass_dev.parquet
2026-09-06 22:09:46,205 | INFO    | hw02.routing           | vías utilizables para 'bike': 11625
2026-09-06 22:09:46,491 | INFO    | hw02.routing           | grafo 'bike': 21288 nodos, 28879 arcos
2026-09-06 22:09:46,515 | INFO    | hw02.routing           | Dijkstra desde 3 destinos en bloques de 40
2026-09-06 22:09:46,522 | INFO    | hw02.routing           |   destinos 3/3
2026-09-06 22:09:46,524 | INFO    | hw02.routing           | matriz graph/bike calculada en 0.8 s y guardada en table_graph_bike_b1d20505ad2ceffc.npz
2026-09-06 22:09:46,531 | INFO    | hw02.routing           | escrito od_bike_matrix_dev.parquet (0.0 MB)
2026-09-06 22:09:46,533 | INFO    | hw02.routing           | escrito snapping_bike_dev.csv (0.0 MB)
2026-09-06 22:09:46,559 | INFO    | hw02.routing           | cargada matriz car: (198, 3)
2026-09-06 22:09:46,566 | INFO    | hw02.routing           | cargada matriz foot: (198, 3)
2026-09-06 22:09:46,572 | INFO    | hw02.routing           | cargada matriz bike: (198, 3)
2026-09-06 22:09:46,582 | INFO    | hw02.routing           | escrito cross_mode_dev.csv (0.0 MB)
