2026-09-06 22:54:25,116 | INFO    | hw02.acquisition       | RENIPRESS_2026_v6.csv listo (17.7 MB, origen: fallback_repositorio)
2026-09-06 22:57:48,464 | INFO    | hw02.acquisition       | consultando altitud de 198 puntos únicos en 2 lotes
2026-09-06 22:57:52,682 | INFO    | hw02.acquisition       | altitud resuelta para 198 de 198 puntos
2026-09-06 22:58:31,671 | INFO    | hw02.acquisition       | altitud desde caché: elevation_dev.parquet (198 puntos)
2026-09-06 23:06:17,956 | INFO    | hw02.acquisition       | descargando http://127.0.0.1:9/nope.zip -> per_admin_boundaries.shp.zip
2026-09-06 23:06:20,009 | WARNING | hw02.acquisition       | intento 1 falló para http://127.0.0.1:9/nope.zip: HTTPConnectionPool(host='127.0.0.1', port=9): Max retries exceeded with url: /nope.zip (Caused by NewConnectionError("HTTPConnection(host='127.0.0.1', port=9): Failed to establish a new connection: [WinError 10061] No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión"))
2026-09-06 23:06:32,035 | WARNING | hw02.acquisition       | intento 2 falló para http://127.0.0.1:9/nope.zip: HTTPConnectionPool(host='127.0.0.1', port=9): Max retries exceeded with url: /nope.zip (Caused by NewConnectionError("HTTPConnection(host='127.0.0.1', port=9): Failed to establish a new connection: [WinError 10061] No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión"))
2026-09-06 23:06:52,037 | WARNING | hw02.acquisition       | descarga de 'boundaries' fallida (no se pudo descargar http://127.0.0.1:9/nope.zip ni sus espejos: HTTPConnectionPool(host='127.0.0.1', port=9): Max retri); se usa la copia versionada per_admin3.gpkg.gz
2026-09-06 23:06:52,170 | INFO    | hw02.acquisition       | per_admin3.gpkg listo (27.4 MB, origen: fallback_repositorio)
2026-09-06 23:13:54,913 | INFO    | hw02.acquisition       | RENIPRESS_2026_v6.csv ya presente (17.7 MB), se reutiliza
2026-09-06 23:13:54,934 | INFO    | hw02.acquisition       | ListadoCentroPobladosMTC.xlsx ya presente (11.2 MB), se reutiliza
2026-09-06 23:13:54,948 | INFO    | hw02.acquisition       | descargando https://data.humdata.org/dataset/54fc7f4d-f4c0-4892-91f6-2fe7c1ecf363/resource/61faa8d6-fbfa-4d44-a94d-8f3b0241277a/download/per_admin_boundaries.shp.zip -> per_admin_boundaries.shp.zip
2026-09-06 23:13:59,831 | INFO    | hw02.acquisition       | per_admin_boundaries.shp.zip listo (42.9 MB, origen: descarga)
2026-09-06 23:13:59,831 | INFO    | hw02.acquisition       | fuente 'overpass' es un servicio, no un archivo: se omite aquí
2026-09-06 23:13:59,831 | INFO    | hw02.acquisition       | fuente 'elevation' es un servicio, no un archivo: se omite aquí
2026-09-06 23:13:59,832 | INFO    | hw02.acquisition       | per_admpop_2024.xlsx ya presente (0.0 MB), se reutiliza
2026-09-06 23:13:59,838 | INFO    | hw02.acquisition       | extrayendo 30 miembros de per_admin_boundaries.shp.zip
2026-09-06 23:14:21,178 | WARNING | hw02.acquisition       | Internet Archive no respondió: HTTPConnectionPool(host='web.archive.org', port=80): Max retries exceeded with url: /cdx/search/cdx?url=datos.susalud.gob.pe%2Fsites%2Fdefault%2Ffiles%2F%2A&output=json&matchType=domain&filter=original%3A.%2ARENIPRESS.%2Acsv&collapse=urlkey&limit=50 (Caused by ConnectTimeoutError(<HTTPConnection(host='web.archive.org', port=80) at 0x1922110c2f0>, 'Connection to web.archive.org timed out. (connect timeout=60)'))
2026-09-06 23:14:21,178 | INFO    | hw02.acquisition       | sondeo Wayback: 0 snapshots de RENIPRESS; se usa inicio_actividad
2026-09-06 23:14:21,246 | INFO    | hw02.acquisition       | manifiesto escrito con 4 fuentes
2026-09-06 23:27:39,527 | INFO    | hw02.acquisition       | altitud desde caché: elevation_dev.parquet (198 puntos)
2026-09-06 23:31:20,684 | INFO    | hw02.acquisition       | altitud desde caché: elevation_dev.parquet (198 puntos)
2026-09-06 23:31:32,461 | INFO    | hw02.acquisition       | altitud desde caché: elevation_dev.parquet (198 puntos)
2026-09-07 13:50:53,419 | INFO    | hw02.acquisition       | descargando http://datos.susalud.gob.pe/sites/default/files/RENIPRESS_2026_v6.csv -> RENIPRESS_2026_v6.csv
2026-09-07 13:51:39,109 | WARNING | hw02.acquisition       | intento 1 falló para http://datos.susalud.gob.pe/sites/default/files/RENIPRESS_2026_v6.csv: HTTPConnectionPool(host='datos.susalud.gob.pe', port=80): Max retries exceeded with url: /sites/default/files/RENIPRESS_2026_v6.csv (Caused by ConnectTimeoutError(<HTTPConnection(host='datos.susalud.gob.pe', port=80) at 0x7f7465d7b740>, 'Connection to datos.susalud.gob.pe timed out. (connect timeout=45)'))
2026-09-07 13:52:34,477 | WARNING | hw02.acquisition       | intento 2 falló para http://datos.susalud.gob.pe/sites/default/files/RENIPRESS_2026_v6.csv: HTTPConnectionPool(host='datos.susalud.gob.pe', port=80): Max retries exceeded with url: /sites/default/files/RENIPRESS_2026_v6.csv (Caused by ConnectTimeoutError(<HTTPConnection(host='datos.susalud.gob.pe', port=80) at 0x7f7465b65880>, 'Connection to datos.susalud.gob.pe timed out. (connect timeout=45)'))
2026-09-07 13:52:54,478 | WARNING | hw02.acquisition       | descarga de 'renipress' fallida (no se pudo descargar http://datos.susalud.gob.pe/sites/default/files/RENIPRESS_2026_v6.csv ni sus espejos: HTTPConnectio); se usa la copia versionada RENIPRESS_2026_v6.csv.gz
2026-09-07 13:52:54,533 | INFO    | hw02.acquisition       | RENIPRESS_2026_v6.csv listo (17.7 MB, origen: fallback_repositorio)
2026-09-07 13:52:54,534 | INFO    | hw02.acquisition       | descargando https://www.datosabiertos.gob.pe/sites/default/files/ListadoCentroPobladosMTC.xlsx -> ListadoCentroPobladosMTC.xlsx
2026-09-07 13:52:58,609 | INFO    | hw02.acquisition       | ListadoCentroPobladosMTC.xlsx listo (11.2 MB, origen: descarga)
2026-09-07 13:52:58,610 | INFO    | hw02.acquisition       | descargando https://data.humdata.org/dataset/54fc7f4d-f4c0-4892-91f6-2fe7c1ecf363/resource/61faa8d6-fbfa-4d44-a94d-8f3b0241277a/download/per_admin_boundaries.shp.zip -> per_admin_boundaries.shp.zip
2026-09-07 13:53:01,739 | INFO    | hw02.acquisition       | per_admin_boundaries.shp.zip listo (42.9 MB, origen: descarga)
2026-09-07 13:53:01,740 | INFO    | hw02.acquisition       | fuente 'overpass' es un servicio, no un archivo: se omite aquí
2026-09-07 13:53:01,740 | INFO    | hw02.acquisition       | fuente 'elevation' es un servicio, no un archivo: se omite aquí
2026-09-07 13:53:01,740 | INFO    | hw02.acquisition       | descargando https://data.humdata.org/dataset/0d8f2f78-cb46-4eb8-94eb-100b5388c3ff/resource/6355bd07-91e8-49e0-abbf-4de4036271a9/download/per_admpop_2024.xlsx -> per_admpop_2024.xlsx
2026-09-07 13:53:03,128 | INFO    | hw02.acquisition       | per_admpop_2024.xlsx listo (0.0 MB, origen: descarga)
2026-09-07 13:53:03,129 | INFO    | hw02.acquisition       | extrayendo 30 miembros de per_admin_boundaries.shp.zip
2026-09-07 13:53:03,639 | INFO    | hw02.acquisition       | sondeo Wayback: 0 snapshots de RENIPRESS; se usa inicio_actividad
2026-09-07 13:53:03,650 | INFO    | hw02.acquisition       | manifiesto escrito con 4 fuentes
2026-09-07 13:54:03,243 | INFO    | hw02.acquisition       | descargando https://download.geofabrik.de/south-america/peru-latest.osm.pbf -> peru-latest.osm.pbf
2026-09-07 13:54:24,301 | INFO    | hw02.acquisition       | peru-latest.osm.pbf listo (255.8 MB, origen: descarga)
2026-09-07 13:54:25,816 | INFO    | hw02.acquisition       | sondeo Wayback: 0 snapshots de RENIPRESS; se usa inicio_actividad
2026-09-07 13:54:25,826 | INFO    | hw02.acquisition       | manifiesto escrito con 1 fuentes
2026-09-07 14:19:45,082 | INFO    | hw02.acquisition       | consultando altitud de 4999 puntos únicos en 50 lotes
2026-09-07 14:20:59,722 | INFO    | hw02.acquisition       | altitud resuelta para 4999 de 4999 puntos
